A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,   ,eee,T, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,99998.88,0.0,0.0,0.0,0.0,0.0,99998.88,0.0,0.0,0.0,99998.88
G,S,   ,eee,T, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,126931.4,0.0,0.0,0.0,0.0,0.0,126931.4,0.0,0.0,0.0,126931.4
G,S,   ,eee,T, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,411803.19,0.0,0.0,0.0,0.0,0.0,411803.19,0.0,0.0,0.0,411803.19
G,S,   ,eee,T, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,129391.99,0.0,0.0,0.0,0.0,0.0,129391.99,0.0,0.0,0.0,129391.99
G,S,   ,eee,T, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,100000.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,100000.0
G,S,   ,eee,T, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,229391.99,0.0,0.0,0.0,0.0,0.0,229391.99,0.0,0.0,0.0,229391.99
G,S,   ,eee,T, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,158360.49,0.0,0.0,0.0,0.0,0.0,158360.49,0.0,0.0,0.0,158360.49
G,S,   ,eee,T, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,100000.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,100000.0
G,S,   ,eee,T, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,258360.49,0.0,0.0,0.0,0.0,0.0,258360.49,0.0,0.0,0.0,258360.49
G,S,   ,eee,T, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,147662.61,0.0,0.0,0.0,0.0,0.0,147662.61,0.0,0.0,0.0,147662.61
G,S,   ,eee,T, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,100000.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,100000.0
G,S,   ,eee,T, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,247662.61,0.0,0.0,0.0,0.0,0.0,247662.61,0.0,0.0,0.0,247662.61
G,S,   ,eee,T, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,425.03,0.0,0.0,0.0,0.0,0.0,425.03,0.0,0.0,0.0,425.03
G,S,   ,eee,T, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,425.03,0.0,0.0,0.0,0.0,0.0,425.03,0.0,0.0,0.0,425.03
G,S,   ,eee,B,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-84194.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84194.38
G,S,   ,eee,B,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-84194.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84194.38
G,S,   ,eee,B,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-404464.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-404464.2
G,S,   ,eee,B,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-404464.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-404464.2
G,S,   ,eee,T, , ,0,0, ,7, , ,UK,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-338.56,0.0,0.0,0.0,0.0,0.0,56473.94,0.0,0.0,0.0,56473.94
G,S,   ,eee,T, , ,0,0, ,7, , ,UK,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6
G,S,   ,eee,T, , ,0,0, ,0, , ,UK,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-342.16,0.0,0.0,0.0,0.0,0.0,56473.94,0.0,0.0,0.0,56470.34
G,S,   ,eee,T, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,89507.31,0.0,0.0,0.0,0.0,0.0,89507.31,0.0,0.0,0.0,89507.31
G,S,   ,eee,T, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,8798.07,0.0,0.0,0.0,0.0,0.0,8798.07,0.0,0.0,0.0,8798.07
G,S,   ,eee,T, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,98305.38,0.0,0.0,0.0,0.0,0.0,98305.38,0.0,0.0,0.0,98305.38
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-592306.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-592306.56
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,607.73,0.0,0.0,0.0,0.0,0.0,607.73,0.0,0.0,0.0,607.73
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-27.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.75
G,S,   ,eee,L, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-591726.58,0.0,0.0,0.0,0.0,0.0,607.73,0.0,0.0,0.0,-591726.58
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-6503558.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6503558.97
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-27828.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27828.07
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-1382.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1382.44
G,S,   ,eee,L, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-6532769.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6532769.48
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-204378164.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-204378164.3
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-10755091.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10755091.18
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-17410.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17410.07
G,S,   ,eee,L, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-215150665.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-215150665.6
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-689181.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-689181.1
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-22432.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22432.85
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1
G,S,   ,eee,L, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-711615.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-711615.05
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-32629192.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32629192.32
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-89321.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89321.59
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-29188.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29188.24
G,S,   ,eee,L, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-32747702.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32747702.15
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-9791116.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9791116.54
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-3491.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3491.87
G,S,   ,eee,L, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-9794608.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9794608.41
G,S,   ,eee,T, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,2343433.45,0.0,0.0,0.0,0.0,0.0,2343433.45,0.0,0.0,0.0,2343433.45
G,S,   ,eee,T, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,920152.24,0.0,0.0,0.0,0.0,0.0,920152.24,0.0,0.0,0.0,920152.24
G,S,   ,eee,T, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,146120.15,0.0,0.0,0.0,0.0,0.0,146120.15,0.0,0.0,0.0,146120.15
G,S,   ,eee,T, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,3409705.84,0.0,0.0,0.0,0.0,0.0,3409705.84,0.0,0.0,0.0,3409705.84
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-1637807.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1637807.6
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-39282.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39282.41
G,S,   ,eee,L, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-1677090.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1677090.01
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-473982.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-473982.17
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-3137.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3137.22
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-96.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-96.64
G,S,   ,eee,L, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-477216.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-477216.03
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-431854.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-431854.57
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-161770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-161770.0
G,S,   ,eee,L, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-593624.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-593624.57
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,22475151.81,0.0,0.0,0.0,0.0,0.0,22475151.81,0.0,0.0,0.0,22475151.81
G,S,   ,eee,L, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,244267.5,0.0,0.0,0.0,0.0,0.0,244267.5,0.0,0.0,0.0,244267.5
